produto compra;cor;estoque;compra pendente;custo médio;preço venda médio;legados;destino;motivo
TINTA ACRILICA FOSCO · BD;AREIA;0;0,00;63,52;95,28;1;espaco;sem estoque · sem compra pendente
TINTA ACRILICA FOSCO · GL;AREIA;0;0,00;23,40;35,10;1;espaco;sem estoque · sem compra pendente
TINTA ACRILICA FOSCO · GL;BRANCO #G;0;0,00;17,72;26,58;1;espaco;sem estoque · sem compra pendente
TINTA ACRILICA FOSCO · GL;LARANJA CÍTRICO;0;0,00;16,86;23,06;1;espaco;sem estoque · sem compra pendente
TINTA ACRILICA FOSCO POUPE+ · GL;VIOLETA CLARO;0;0,00;18,82;25,77;1;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;AZUL DEL REY;0;0,00;68,50;102,75;1;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;BRANCO;0;0,00;51,96;77,94;1;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;CREME;0;0,00;51,96;77,94;1;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;TABACO;0;0,00;52,61;73,75;2;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;VERMELHO;0;0,00;51,96;77,94;1;espaco;sem estoque · sem compra pendente
TINTA ESMALTE SINTETICO · GL;VERMELHO GARANTIDO;0;0,00;68,50;102,75;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · BD;BRANCO NEVE #G;0;0,00;191,96;287,94;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · BD;CINZA #G;0;0,00;138,50;207,75;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · GL;AMARELO DEMARCACAO;0;0,00;35,85;53,77;2;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · GL;AZUL PROFUNDO;0;0,00;42,19;63,29;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · GL;CINZA ESCURO #G;0;0,00;42,19;63,29;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · GL;CINZA MEDIO;0;0,00;42,19;63,29;1;espaco;sem estoque · sem compra pendente
TINTA P/ PISO · GL;VERMELHO #G;0;0,00;42,20;63,30;1;espaco;sem estoque · sem compra pendente
TINTA SEMI-BRILHO · BD;BRANCO NEVE #G;0;0,00;190,90;286,35;1;espaco;sem estoque · sem compra pendente
TINTA SEMI-BRILHO · BD;LARANJA IMPERIAL;0;0,00;218,54;300,81;1;espaco;sem estoque · sem compra pendente
TINTA SEMI-BRILHO · GL;LARANJA IMPERIAL;0;0,00;54,14;81,21;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · AVULSO;DOURADO;0;0,00;22,56;33,84;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · AVULSO;PRATA;0;0,00;18,00;27,00;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;360ML INZA;0;0,00;11,49;17,24;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;ALUMÍNIO;0;0,00;14,93;22,40;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;AZUL MÉDIO;0;0,00;11,49;17,24;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;AZUL OCEANO;0;0,00;13,21;12,07;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;BEGE;0;0,00;9,43;14,15;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;BRANCO FOSCO;0;0,00;12,91;19,37;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;GRAFITE;0;0,00;9,99;14,99;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;ROSA;0;0,00;8,99;13,49;1;espaco;sem estoque · sem compra pendente
TINTA SPRAY · SPRAY;VIOLETA;0;0,00;14,53;21,80;1;espaco;sem estoque · sem compra pendente
TINTA STANDARD · GL;GEADA;0;0,00;27,67;41,51;1;espaco;sem estoque · sem compra pendente
