produto compra;cor;estoque;custo médio;preço venda médio;legados
TINTA ACABAMENTO · GL;CIMENTO QUEIMADO;3;38,00;57,00;1
TINTA ACRILICA FOSCO · BD;AREIA;0;63,52;95,28;1
TINTA ACRILICA FOSCO · BD;BRANCO NEVE;15;85,15;119,21;1
TINTA ACRILICA FOSCO · GL;AREIA;0;23,40;35,10;1
TINTA ACRILICA FOSCO · GL;BRANCO #G;0;17,72;26,58;1
TINTA ACRILICA FOSCO · GL;BRANCO NEVE;12;28,19;39,47;1
TINTA ACRILICA FOSCO · GL;HORTENCIA;2;20,90;31,35;1
TINTA ACRILICA FOSCO · GL;LARANJA CÍTRICO;0;16,86;23,06;1
TINTA ACRILICA FOSCO POUPE+ · BD;PRETO;2;66,65;91,35;1
TINTA ACRILICA FOSCO POUPE+ · GL;VIOLETA CLARO;0;18,82;25,77;1
TINTA ANTICORROSIVA · GL;CINZA;0;74,28;74,28;1
TINTA ANTICORROSIVA · GL;PRETO;0;74,28;74,28;1
TINTA ANTICORROSIVA · LT;CINZA;0;22,37;22,37;1
TINTA ANTICORROSIVA · LT;LARANJA;0;22,37;22,37;1
TINTA ANTICORROSIVA · LT;PRETO;0;22,37;22,37;1
TINTA ESMALTE SINTETICO · GL;ACAI;1;68,50;102,75;1
TINTA ESMALTE SINTETICO · GL;AMARELO;0;61,69;89,95;4
TINTA ESMALTE SINTETICO · GL;AMARELO CATERPILAR;1;51,96;77,94;2
TINTA ESMALTE SINTETICO · GL;AZUL DEL REY;0;68,50;102,75;1
TINTA ESMALTE SINTETICO · GL;AZUL FRANÇA;0;63,12;89,52;2
TINTA ESMALTE SINTETICO · GL;AZUL MAR;0;74,28;101,10;1
TINTA ESMALTE SINTETICO · GL;BRANCO;0;51,96;77,94;1
TINTA ESMALTE SINTETICO · GL;BRANCO NEVE;0;74,28;101,10;1
TINTA ESMALTE SINTETICO · GL;CINZA MEDIO;1;51,96;77,94;2
TINTA ESMALTE SINTETICO · GL;CREME;0;51,96;77,94;1
TINTA ESMALTE SINTETICO · GL;LARANJA;3;59,06;79,47;2
TINTA ESMALTE SINTETICO · GL;PRETO;0;64,41;91,45;2
TINTA ESMALTE SINTETICO · GL;TABACO;0;52,61;73,75;2
TINTA ESMALTE SINTETICO · GL;VERDE FOLHA;0;74,28;101,10;1
TINTA ESMALTE SINTETICO · GL;VERDE LIMAO;0;74,28;101,10;1
TINTA ESMALTE SINTETICO · GL;VERMELHO;0;51,96;77,94;1
TINTA ESMALTE SINTETICO · GL;VERMELHO GARANTIDO;0;68,50;102,75;1
TINTA ESMALTE SINTETICO · LT;AÇAÍ;2;20,00;30,00;1
TINTA ESMALTE SINTETICO · LT;AMARELO;5;14,48;21,72;3
TINTA ESMALTE SINTETICO · LT;AMARELO CATERPILAR;3;20,22;30,33;1
TINTA ESMALTE SINTETICO · LT;AZUL DEL REY;1;20,00;30,00;2
TINTA ESMALTE SINTETICO · LT;AZUL FRANÇA;6;14,48;21,72;2
TINTA ESMALTE SINTETICO · LT;AZUL MAR;0;22,37;30,45;1
TINTA ESMALTE SINTETICO · LT;BRANCO NEVE;0;18,67;24,27;2
TINTA ESMALTE SINTETICO · LT;CINZA MEDIO;3;14,48;21,72;2
TINTA ESMALTE SINTETICO · LT;CREME;1;20,22;30,33;1
TINTA ESMALTE SINTETICO · LT;LARANJA;0;22,37;30,45;1
TINTA ESMALTE SINTETICO · LT;PRETO;0;22,37;30,45;1
TINTA ESMALTE SINTETICO · LT;TABACO;0;22,37;30,45;1
TINTA ESMALTE SINTETICO · LT;VERDE FOLHA;0;22,37;30,45;1
TINTA ESMALTE SINTETICO · LT;VERDE LIMAO;0;22,37;30,45;1
