Categoria;Linha (h1);SKUs ativos;Com estoque;Subtipos (h2);Exemplo SKU;Categoria ID
(sem categoria);FRETE;1;0;AVULSO;FRETE AVULSO;
(sem categoria);ISOLADOR TIPO ROLDANA 72 X;1;0;72MM;ISOLADOR TIPO ROLDANA 72 X 72MM;
(sem categoria);PISO;2;0;45x45;PISO 45X45 NEVE PEI5 (2 M²/CX);6a3e8eafb61cb57a4a2992de
(sem categoria);Produto EXEMPLO - CHECAGEM -;1;0;AVULSO;Produto EXEMPLO - CHECAGEM - AVULSO;
A - MATERIAIS BÁSICOS;ARAME GALVANIZADO;2;0;No.12 (2.76MM) 20M/KG | No.16 (1.65MM) 56M/KG;ARAME GALVANIZADO No.12 (2.76MM) 20M/KG;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;ARAME RECOZIDO;1;1;1 KG;ARAME RECOZIDO 1 KG;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;AREIA;2;1;A GRANEL | ENSACADA;AREIA A GRANEL;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;ARGAMASSA;5;3;15 KG | 20 KG;ARGAMASSA 15 KG AC-1 JBMIX;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;BARRA ROSCADA ZINCADA;2;0;1/2' | 1/4';BARRA ROSCADA ZINCADA 1/2';6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;BLOCO DE CONCRETO;3;2;09 X 19 X 19 | 09 X 19 X 39 | 14 X 19 X 39;BLOCO DE CONCRETO 09 X 19 X 19;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;CAL SUPERCAL;1;0;5 KILO;CAL SUPERCAL 5 KILO;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;CIMENTO BRANCO;1;1;01 KG #G;CIMENTO BRANCO 01 KG #G;6a3e8eae2074de4c1d451af9
A - MATERIAIS BÁSICOS;CIMENTO PORTLAND;1;1;42,5 KG;CIMENTO PORTLAND 42,5 KG;6a3e8eae2074de4c1d451af9
