codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
ZL3-URI;1;Material básico;AREIA;AREIA;ok;true
49S-08P;1;Material básico;SEIXO;SEIXO;ok;true
S4W-9FU;1;Nome curto + apresentação;TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6;TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6;ok;true
5AE-0MX;1;Torneira por uso;TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15;TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15;ok;true
1O7-2GY;1;Nome curto + apresentação;NOVA RAZ 260 5L;NOVA RAZ 260 5L;ok;true
LSZ-65P;1;Perfil PVC + comprimento;PERFIL DE PVC COLONIAL BRANCO 06M #G;PERFIL DE PVC COLONIAL BRANCO 06M #G;ok;true
JCB-KJ5;1;Produto avulso — revisar depois;QUADRO DE DISTRIBUIÇÃO 12 - TRIAL;QUADRO DE DISTRIBUIÇÃO 12 - TRIAL;ok;true
W1L-1VW;1;Revestimento + formato;REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2);REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2);ok;true
P85-O76;1;Torneira por uso;TORNEIRA 2877 C70 MONOCOMANDO WATERFALL;TORNEIRA 2877 C70 MONOCOMANDO WATERFALL;ok;true
E6M-3SX;1;Perfil PVC + comprimento;PERFIL DE PVC U 06M #G;PERFIL DE PVC U 06M #G;ok;true
I1F-GOK;1;Nome curto + apresentação;SIFAO METALICO DE 1.1/2 X 1.1/2;SIFAO METALICO DE 1.1/2 X 1.1/2;ok;true
I2H-1R0;1;Tinta/verniz: produto + volume;THINNER ANJO 2750 900ML;THINNER ANJO 2750 900ML;ok;true
IB2-73R;1;Registro + medida;REGISTRO ESF LATAO 3/4PASS PLENA #12(*);REGISTRO ESF LATAO 3/4PASS PLENA #12(*);ok;true
6V9-XI0;1;Tinta/verniz: produto + volume;SELADOR ACRILICO - GL;SELADOR ACRILICO - GL;ok;true
LXE-85B;1;Perfil PVC + comprimento;PERFIL DE PVC H 06M #G;PERFIL DE PVC H 06M #G;ok;true
R2C-HIW;1;Nome curto + apresentação;RALO SIMPLES QUADRADO 100X52X40 - KRONA;RALO SIMPLES QUADRADO 100X52X40 - KRONA;ok;true
