codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
V61-Y2Z,,,DIVERSOS,FRETE,,,FRETE,FRETE
2FZ-SBM,3 — Instalações brutas,PADRAO_ELETRICO,DIVERSOS·N,ISOLADOR TIPO ROLDANA 72,72 X 72MM,,ISOLADOR TIPO ROLDANA 72 X 72MM,ISOLADOR TIPO ROLDANA 72 X 72MM
RD0-IAB,,,DIVERSOS,Produto EXEMPLO - CHECAGEM,,,Produto EXEMPLO - CHECAGEM,Produto EXEMPLO  - CHECAGEM -
IF6-P4T,1 — Estrutura / alvenaria,ARMADURA,MATERIAIS BÁSICOS·N,ARAME GALVANIZADO,No.16 (1.65MM) 56M/KG,,ARAME GALVANIZADO No.16 (1.65MM) 56M/KG,ARAME GALVANIZADO No.16 (1.65MM) 56M/KG
S58-EAP,1 — Estrutura / alvenaria,ARMADURA,MATERIAIS BÁSICOS·N,ARAME GALVANIZADO,No.12 (2.76MM) 20M/KG,,ARAME GALVANIZADO No.12 (2.76MM) 20M/KG,ARAME GALVANIZADO No.12 (2.76MM) 20M/KG
P2J-JV3,1 — Estrutura / alvenaria,ARMADURA,MATERIAIS BÁSICOS·N,ARAME RECOZIDO,1 KG,,ARAME RECOZIDO 1 KG,ARAME RECOZIDO 1 KG
SGL-MU3,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,AREIA,ENSACADA,,AREIA ENSACADA,AREIA ENSACADA
ZL3-URI,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,AREIA,,,AREIA,AREIA
41W-A3S,1 — Estrutura / alvenaria,ALVENARIA,ARGAMASSA·R,ARGAMASSA AC-1,15 KG,JBMIX,ARGAMASSA AC-1 15 KG JBMIX,ARGAMASSA 15 KG AC-1 JBMIX
G98-KNC,1 — Estrutura / alvenaria,ALVENARIA,ARGAMASSA·R,ARGAMASSA AC-2,20 KG,JBMIX,ARGAMASSA AC-2 20 KG JBMIX,ARGAMASSA 20 KG AC-2 JBMIX
IR9-WNR,1 — Estrutura / alvenaria,ALVENARIA,ARGAMASSA·R,ARGAMASSA AC-3,20 KG,JBMIX,ARGAMASSA AC-3 20 KG JBMIX,ARGAMASSA 20 KG AC-3 JBMIX
MM7-CF9,1 — Estrutura / alvenaria,ALVENARIA,ARGAMASSA·R,ARGAMASSA AC-2,15 KG,JBMIX,ARGAMASSA AC-2 15 KG JBMIX,ARGAMASSA 15 KG AC-2 JBMIX
Y8B-Y4W,1 — Estrutura / alvenaria,ALVENARIA,ARGAMASSA·R,ARGAMASSA AC-3,15 KG,JBMIX,ARGAMASSA AC-3 15 KG JBMIX,ARGAMASSA 15 KG AC-3 JBMIX
EYP-G25,8 — Transversal,FIXACAO,PARAFUSO,BARRA ROSCADA ZINCADA,1/2',,BARRA ROSCADA ZINCADA 1/2',BARRA ROSCADA ZINCADA 1/2'
L95-XEY,8 — Transversal,FIXACAO,PARAFUSO,BARRA ROSCADA ZINCADA,1/4',,BARRA ROSCADA ZINCADA 1/4',BARRA ROSCADA ZINCADA 1/4'
F6V-RWC,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,BLOCO DE CONCRETO,09 X 19 X 19,,BLOCO DE CONCRETO 09 X 19 X 19,BLOCO DE CONCRETO 09 X 19 X 19
MCZ-7UL,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,BLOCO DE CONCRETO,14 X 19 X 39,,BLOCO DE CONCRETO 14 X 19 X 39,BLOCO DE CONCRETO 14 X 19 X 39
U72-6P7,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,BLOCO DE CONCRETO,09 X 19 X 39,,BLOCO DE CONCRETO 09 X 19 X 39,BLOCO DE CONCRETO 09 X 19 X 39
A1D-9TQ,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,CAL SUPERCAL,5 KILO,,CAL SUPERCAL 5 KILO,CAL SUPERCAL 5 KILO
1LZ-Q4B,1 — Estrutura / alvenaria,ALVENARIA,CIMENTO·N,CIMENTO BRANCO,01 KG #G,,CIMENTO BRANCO 01 KG #G,CIMENTO BRANCO 01 KG #G
510-4Z4,1 — Estrutura / alvenaria,ALVENARIA,CIMENTO·N,CIMENTO PORTLAND,"42,5 KG",,"CIMENTO PORTLAND 42,5 KG","CIMENTO PORTLAND 42,5 KG"
3HF-TI0,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,ESTRIBO,7 X 27 CM,(CAIXA C/200),ESTRIBO 7 X 27 CM (CAIXA C/200),ESTRIBO 7 X 27 CM (CAIXA C/200)
R4A-FXB,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,ESTRIBO,7 X 17 CM,(CAIXA C/200),ESTRIBO 7 X 17 CM (CAIXA C/200),ESTRIBO 7 X 17 CM (CAIXA C/200)
RJI-U94,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,ESTRIBO,17 X 17 CM,(CAIXA C/200),ESTRIBO 17 X 17 CM (CAIXA C/200),ESTRIBO 17 X 17 CM (CAIXA C/200)
XR1-ZRK,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAIS BÁSICOS·N,PONTALETE GALVANIZADO LEVE BIFASICO,,,PONTALETE GALVANIZADO LEVE BIFASICO,PONTALETE GALVANIZADO LEVE BIFASICO 3 MT
3HN-RAN,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAIS BÁSICOS·N,PONTALETE GALVANIZADO LEVE MONOFÁSICO,,,PONTALETE GALVANIZADO LEVE MONOFÁSICO,PONTALETE GALVANIZADO LEVE MONOFÁSICO 3
49S-08P,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,SEIXO,,,SEIXO,SEIXO
V7M-ZMJ,6 — Acabamento seco,PINTURA_OBRA,THINNER,THINNER LUKSNOVA 237,900 ML,,THINNER LUKSNOVA 237 900 ML,THINNER LUKSNOVA SUPER-EXTRA 237 900 ML
JGW-WK2,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,TIJOLO 18x19,,,TIJOLO 18x19,TIJOLO 18x19
E61-M3X,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·N,TIJOLO DE,,,TIJOLO DE,TIJOLO DE VIDRO
30Q-O3A,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"10,0 mm - 3/8'","VERGALHÃO 12M 10,0 mm - 3/8'","VERGALHÃO DE FERRO 12M 10,0 MM - 3/8'"
5NJ-85T,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"06,3 mm - 1/4'","VERGALHÃO 12M 06,3 mm - 1/4'","VERGALHÃO DE FERRO 12M 06,3 MM - 1/4'"
6PK-LII,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"05,0 mm- 3/16'","VERGALHÃO 12M 05,0 mm- 3/16'","VERGALHÃO DE FERRO 12M 05,0 MM- 3/16'"
9DX-1X2,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,06M,"12,7 mm - 1/2'","VERGALHÃO 06M 12,7 mm - 1/2'","VERGALHÃO DE FERRO 06M 12,7 MM - 1/2'"
MK3-DTC,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"04,2 mm - 3/16'","VERGALHÃO 12M 04,2 mm - 3/16'","VERGALHÃO DE FERRO 12M 04,2 MM - 3/16'"
S0B-VHV,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"08,0 mm - 5/16'","VERGALHÃO 12M 08,0 mm - 5/16'","VERGALHÃO DE FERRO 12M 08,0 MM - 5/16'"
U0E-HK2,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"12,7 mm - 1/2'","VERGALHÃO 12M 12,7 mm - 1/2'","VERGALHÃO DE FERRO 12M 12,7 MM - 1/2'"
0Y7-XU3,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 18,00 MM"
7RX-QB4,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,44 X 1,,COMPENSADO 44 X 1,"COMPENSADO 2,44 X 1,22 X 04,00 MM"
AY6-J2X,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 10,00 MM"
LSY-7OD,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 04,00 MM"
2IB-P0W,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,FORRO PVC,8mm x 20cm x 6m,BRANCO,FORRO PVC 8mm x 20cm x 6m BRANCO,FORRO PVC 8MM X 20CM X 6M BRANCO FRISADO
683-4QL,2 — Cobertura,,DIVERSOS,FORRO PVC,8mm x 20cm x 6m,BRANCO,FORRO PVC 8mm x 20cm x 6m BRANCO,FORRO PVC 8MM X 20CM X 6M BRANCO CANALADO GEMINI
LSZ-65P,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC COLONIAL BRANCO 06M #G
QYI-7MI,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC F 06M #G
LXE-85B,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC H 06M #G
E6M-3SX,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC U 06M #G
