codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
V61-Y2Z,,DIVERSOS,FRETE,,,FRETE,FRETE,,,,,FRETE
2FZ-SBM,,DIVERSOS,ISOLADOR TIPO ROLDANA 72,72 X 72MM,,ISOLADOR TIPO ROLDANA 72 X 72MM,ISOLADOR TIPO ROLDANA 72 X 72MM,,,,,ISOLADOR TIPO ROLDANA 72 X 72MM
RD0-IAB,,DIVERSOS,Produto EXEMPLO - CHECAGEM,,,Produto EXEMPLO - CHECAGEM,Produto EXEMPLO  - CHECAGEM -,,,,,Produto EXEMPLO  - CHECAGEM -
IF6-P4T,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,ARAME GALVANIZADO,No.16 (1.65MM) 56M/KG,,ARAME GALVANIZADO No.16 (1.65MM) 56M/KG,ARAME GALVANIZADO,No.16 (1.65MM) 56M/KG,,,,ARAME GALVANIZADO No.16 (1.65MM) 56M/KG
S58-EAP,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,ARAME GALVANIZADO,No.12 (2.76MM) 20M/KG,,ARAME GALVANIZADO No.12 (2.76MM) 20M/KG,ARAME GALVANIZADO,No.12 (2.76MM) 20M/KG,,,,ARAME GALVANIZADO No.12 (2.76MM) 20M/KG
P2J-JV3,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,ARAME RECOZIDO,1 KG,,ARAME RECOZIDO 1 KG,ARAME RECOZIDO,1 KG,,,,ARAME RECOZIDO 1 KG
SGL-MU3,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,AREIA,ENSACADA,,AREIA ENSACADA,AREIA,ENSACADA,,,,AREIA ENSACADA
ZL3-URI,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,AREIA,,,AREIA,AREIA,,,,,AREIA
41W-A3S,A - MATERIAIS BÁSICOS,ARGAMASSA,ARGAMASSA AC-1,15 KG,JBMIX,ARGAMASSA AC-1 15 KG JBMIX,ARGAMASSA,15 KG,AC-1,JBMIX,,ARGAMASSA 15 KG AC-1 JBMIX
G98-KNC,A - MATERIAIS BÁSICOS,ARGAMASSA,ARGAMASSA AC-2,20 KG,JBMIX,ARGAMASSA AC-2 20 KG JBMIX,ARGAMASSA,20 KG,AC-2,JBMIX,,ARGAMASSA 20 KG AC-2 JBMIX
IR9-WNR,A - MATERIAIS BÁSICOS,ARGAMASSA,ARGAMASSA AC-3,20 KG,JBMIX,ARGAMASSA AC-3 20 KG JBMIX,ARGAMASSA,20 KG,AC-3,JBMIX,,ARGAMASSA 20 KG AC-3 JBMIX
MM7-CF9,A - MATERIAIS BÁSICOS,ARGAMASSA,ARGAMASSA AC-2,15 KG,JBMIX,ARGAMASSA AC-2 15 KG JBMIX,ARGAMASSA,15 KG,AC-2,JBMIX,,ARGAMASSA 15 KG AC-2 JBMIX
Y8B-Y4W,A - MATERIAIS BÁSICOS,ARGAMASSA,ARGAMASSA AC-3,15 KG,JBMIX,ARGAMASSA AC-3 15 KG JBMIX,ARGAMASSA,15 KG,AC-3,JBMIX,,ARGAMASSA 15 KG AC-3 JBMIX
EYP-G25,A - MATERIAIS BÁSICOS,PARAFUSO,BARRA ROSCADA ZINCADA,1/2',,BARRA ROSCADA ZINCADA 1/2',BARRA ROSCADA ZINCADA,1/2',,,,BARRA ROSCADA ZINCADA 1/2'
L95-XEY,A - MATERIAIS BÁSICOS,PARAFUSO,BARRA ROSCADA ZINCADA,1/4',,BARRA ROSCADA ZINCADA 1/4',BARRA ROSCADA ZINCADA,1/4',,,,BARRA ROSCADA ZINCADA 1/4'
F6V-RWC,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,BLOCO DE CONCRETO,09 X 19 X 19,,BLOCO DE CONCRETO 09 X 19 X 19,BLOCO DE CONCRETO,09 X 19 X 19,,,,BLOCO DE CONCRETO 09 X 19 X 19
