codigo;nome;lote;segmento;capital_reais;antes_h1;antes_h2;antes_h3;antes_h4;antes_h5;antes_resumo;depois_h1;depois_h2;depois_h3;depois_h4;depois_h5;depois_resumo;mudou;motivo;id
"ZL3-URI";"AREIA";"1";"capital_preso";"17147";"AREIA";"";"";"";"";"AREIA";"AREIA";"A GRANEL";"";"";"";"AREIA › A GRANEL";"SIM";"Material básico";"69bd5b5a218c3cc383bf5fed"
"49S-08P";"SEIXO";"1";"com_giro";"2145.6";"SEIXO";"";"";"";"";"SEIXO";"SEIXO";"A GRANEL";"";"";"";"SEIXO › A GRANEL";"SIM";"Material básico";"69bd5d0584f9f020c2786537"
"S4W-9FU";"TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6";"1";"com_giro";"1100.8";"TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6";"";"";"";"";"TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6";"TELHA ONDULADA GALVALUME GSP 0,66";"66 X 2";"";"";"Nortfort";"TELHA ONDULADA GALVALUME GSP 0,66 › 66 X 2 › Nortfort";"SIM";"Nome curto + apresentação";"69bd5d22879dc9852dd2963a"
"5AE-0MX";"TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15";"1";"capital_preso";"970.9";"TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15";"";"";"";"";"TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15";"TORNEIRA P/ LAVATÓRIO";"DN15 BICA MÓVEL";"";"";"Roma";"TORNEIRA P/ LAVATÓRIO › DN15 BICA MÓVEL › Roma";"SIM";"Torneira por uso";"69bd64cbd28a88c8d46a4db8"
"1O7-2GY";"NOVA RAZ 260 5L";"1";"com_giro";"953.44";"NOVA RAZ 260 5L";"";"";"";"";"NOVA RAZ 260 5L";"NOVA RAZ 260 5L";"5L";"";"";"";"NOVA RAZ 260 5L › 5L";"SIM";"Nome curto + apresentação";"69bd5c0035365fffe51d1a88"
"LSZ-65P";"PERFIL DE PVC COLONIAL BRANCO 06M #G";"1";"com_giro";"739.04";"PERFIL DE PVC COLONIAL BRANCO 06M #G";"";"";"";"";"PERFIL DE PVC COLONIAL BRANCO 06M #G";"PERFIL PVC COLONIAL";"06 M";"";"";"";"PERFIL PVC COLONIAL › 06 M";"SIM";"Perfil PVC + comprimento";"69bd5c03466b036d0c70f578"
"JCB-KJ5";"QUADRO DE DISTRIBUIÇÃO 12 - TRIAL";"1";"capital_preso";"668.27";"QUADRO DE DISTRIBUIÇÃO 12 - TRIAL";"";"";"";"";"QUADRO DE DISTRIBUIÇÃO 12 - TRIAL";"QUADRO DISTRIBUIÇÃO 12 - TRIAL";"AVULSO";"";"";"";"QUADRO DISTRIBUIÇÃO 12 - TRIAL › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cce82fb5ee958fb84ff"
"W1L-1VW";"REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2)";"1";"com_giro";"666.23";"REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2)";"";"";"";"";"REV 34X50 EURO GALICIA MARROM EXT. (2,38 M2)";"REVESTIMENTO";"34X50";"";"";"";"REVESTIMENTO › 34X50";"SIM";"Revestimento + formato";"69bd5cfdc386531ad5065d99"
"P85-O76";"TORNEIRA 2877 C70 MONOCOMANDO WATERFALL";"1";"capital_preso";"607.9";"TORNEIRA 2877 C70 MONOCOMANDO WATERFALL";"";"";"";"";"TORNEIRA 2877 C70 MONOCOMANDO WATERFALL";"TORNEIRA MONOCOMANDO";"AVULSO";"";"";"";"TORNEIRA MONOCOMANDO › AVULSO";"SIM";"Torneira por uso";"69bd64c6b92f375e9640d0e8"
"E6M-3SX";"PERFIL DE PVC U 06M #G";"1";"com_giro";"437.8";"PERFIL DE PVC U 06M #G";"";"";"";"";"PERFIL DE PVC U 06M #G";"PERFIL PVC U";"06 M";"";"";"";"PERFIL PVC U › 06 M";"SIM";"Perfil PVC + comprimento";"69bd5c03babbb02e1efc7b91"
"I1F-GOK";"SIFAO METALICO DE 1.1/2"" X 1.1/2""";"1";"capital_preso";"412.98";"SIFAO METALICO DE 1.1/2"" X 1.1/2""";"";"";"";"";"SIFAO METALICO DE 1.1/2"" X 1.1/2""";"SIFAO METALICO 1.1/2"" X 1.1/2""";"1/2";"";"";"";"SIFAO METALICO 1.1/2"" X 1.1/2"" › 1/2";"SIM";"Nome curto + apresentação";"69bd5d08c0db240ca29ca603"
"I2H-1R0";"THINNER ANJO 2750 900ML";"1";"com_giro";"401.6";"THINNER ANJO 2750 900ML";"";"";"";"";"THINNER ANJO 2750 900ML";"THINNER";"900ML";"";"";"";"THINNER › 900ML";"SIM";"Tinta/verniz: produto + volume";"69bd5d230e06c433b7d11ec5"
"IB2-73R";"REGISTRO ESF LATAO 3/4""PASS PLENA #12(*)";"1";"capital_preso";"388.31";"REGISTRO ESF LATAO 3/4""PASS PLENA #12(*)";"";"";"";"";"REGISTRO ESF LATAO 3/4""PASS PLENA #12(*)";"REGISTRO";"3/4";"";"";"";"REGISTRO › 3/4";"SIM";"Registro + medida";"69bd5ce3b188ced2d2c519e6"
"6V9-XI0";"SELADOR ACRILICO - GL";"1";"capital_preso";"375";"SELADOR ACRILICO - GL";"";"";"";"";"SELADOR ACRILICO - GL";"TINTA SELADOR ACRÍLICO";"GL";"";"";"";"TINTA SELADOR ACRÍLICO › GL";"SIM";"Tinta/verniz: produto + volume";"69bd5d06af84abb0c891c3c2"
"LXE-85B";"PERFIL DE PVC H 06M #G";"1";"com_giro";"351.4";"PERFIL DE PVC H 06M #G";"";"";"";"";"PERFIL DE PVC H 06M #G";"PERFIL PVC";"06 M";"";"";"";"PERFIL PVC › 06 M";"SIM";"Perfil PVC + comprimento";"69bd5c034f9521186107ec48"
"R2C-HIW";"RALO SIMPLES QUADRADO 100X52X40 - KRONA";"1";"com_giro";"349.6";"RALO SIMPLES QUADRADO 100X52X40 - KRONA";"";"";"";"";"RALO SIMPLES QUADRADO 100X52X40 - KRONA";"RALO SIMPLES QUADRADO 100X52X40 -";"100X52X40";"";"";"";"RALO SIMPLES QUADRADO 100X52X40 - › 100X52X40";"SIM";"Nome curto + apresentação";"69bd5cd2d20bbdb326aa4835"
"SV7-Q22";"TORNEIRA BICA MOVEL MESA 1156 SHK ABS";"1";"capital_preso";"317.46";"TORNEIRA BICA MOVEL MESA 1156 SHK ABS";"";"";"";"";"TORNEIRA BICA MOVEL MESA 1156 SHK ABS";"TORNEIRA DE MESA";"BICA MÓVEL";"";"";"";"TORNEIRA DE MESA › BICA MÓVEL";"SIM";"Torneira por uso";"69bd64c9de9614ca421758c7"
"XR1-ZRK";"PONTALETE GALVANIZADO LEVE BIFASICO 3 MT";"1";"com_giro";"307.77";"PONTALETE GALVANIZADO LEVE BIFASICO 3 MT";"";"";"";"";"PONTALETE GALVANIZADO LEVE BIFASICO 3 MT";"PONTALETE GALVANIZADO LEVE BIFASICO 3";"AVULSO";"";"";"";"PONTALETE GALVANIZADO LEVE BIFASICO 3 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cc395c422bee4a253e8"
